employee_id,first_name,last_name,gender,state,city,hiredate,department,job_title,education_level,salary,performance_rating,overtime,birthdate,termdate
00-83793389,Rachel,Martin,Male,New York,Rochester,2017-01-01,Sales,Sales Consultant,Bachelor,94930,Excellent,Yes,1985-12-08,2016-07-14
00-80823176,Tricia,Baker,Female,New York,Buffalo,2023-11-01,Customer Service,Customer Service Representative,Bachelor,59179,Good,Yes,1999-10-09,2021-02-23
00-66792612,Kristen,Mitchell,Male,North Carolina,Greensboro,2024-09-27,Operations,Logistics Coordinator,Bachelor,74555,Good,Yes,1977-08-30,2017-04-03
00-82383095,Susan,Cowan,Male,New York,Buffalo,2022-08-04,Sales,Sales Manager,PhD,74371,Good,No,1991-01-15,2015-03-03
00-36998038,Dorothy,Tucker,Female,New York,Rochester,2022-03-15,Marketing,SEO Specialist,Bachelor,81253,Excellent,No,1991-11-30,2024-01-17
00-63551839,Kenneth,Novak,Female,New York,Rochester,2024-08-12,Customer Service,Customer Service Representative,High School,56922,Good,No,1990-01-13,2022-03-11
00-97225156,Jill,Brown,Female,New York,Buffalo,2018-05-02,Marketing,Content Creator,Bachelor,65108,Satisfactory,Yes,1983-09-26,2020-12-04
00-79467853,Brian,Silva,Female,New York,Buffalo,2019-07-15,Operations,Logistics Coordinator,Bachelor,61958,Good,No,1977-02-13,2023-08-13
00-43273328,Samantha,Schmidt,Female,New York,Rochester,2017-01-23,Customer Service,Support Specialist,Bachelor,55038,Good,No,2000-04-25,2018-04-12
00-55377076,Susan,Miller,Female,New York,Buffalo,2015-03-14,HR,HR Coordinator,Master,63666,Excellent,No,2003-05-22,2024-04-19
00-84346088,Casey,Jones,Female,New York,Rochester,2017-12-01,Customer Service,Help Desk Technician,High School,58264,Excellent,No,1981-02-22,2015-05-31
00-39557077,Joe,Wilson,Male,New York,New York City,2015-12-12,Sales,Sales Representative,Bachelor,65128,Satisfactory,No,2004-05-21,2024-04-08
00-94705205,Ashley,Riley,Male,New York,Rochester,2016-01-16,Sales,Sales Consultant,Master,69316,Good,No,1968-11-18,2021-07-14
00-19046318,Christine,Barnes,Male,New York,New York City,2023-08-15,Operations,Inventory Specialist,High School,56431,Good,No,1994-02-04,2020-04-16
00-54349361,Annette,Stewart,Male,New York,Buffalo,2016-04-11,Sales,Sales Representative,Bachelor,79043,Good,No,1998-10-02,2023-01-07
00-41944441,James,Moran,Female,New York,Rochester,2017-04-03,Marketing,Marketing Coordinator,Bachelor,59137,Good,No,1990-02-11,2017-08-22
00-75151231,Joseph,Anderson,Male,New York,Buffalo,2017-09-08,IT,Software Developer,Bachelor,89897,Good,No,1984-04-06,2019-09-24
00-27758595,Kevin,Stewart,Female,New York,New York City,2022-10-19,IT,Software Developer,Bachelor,80501,Good,No,1985-12-14,2016-03-17
00-86644106,Shari,Smith,Male,Michigan,Detroit,2020-08-29,Operations,Operations Analyst,Master,83772,Satisfactory,Yes,1985-07-20,2019-04-01
00-42614537,Yolanda,Ferrell,Male,New York,New York City,2023-01-29,Operations,Operations Analyst,Master,55106,Excellent,No,1984-01-18,2016-02-16
00-64634663,Amanda,Wagner,Male,New York,New York City,2017-02-21,IT,Software Developer,Bachelor,88492,Good,No,1989-01-15,2019-01-12
00-23009833,Sarah,Ibarra,Male,New York,Buffalo,2022-12-08,Customer Service,Help Desk Technician,High School,82441,Satisfactory,No,1977-11-10,2023-12-16
00-57553014,John,Mitchell,Male,Michigan,Warren,2019-06-20,Finance,Accountant,Bachelor,85555,Good,Yes,1964-01-10,2021-11-17
00-72682989,Martha,Warner,Female,New York,Rochester,2023-08-26,Sales,Sales Consultant,Bachelor,64372,Satisfactory,No,1990-11-14,2023-03-13
00-17270733,Tonya,Roman,Female,Michigan,Grand Rapids,2022-07-25,Customer Service,Customer Service Representative,Bachelor,63278,Good,No,1972-06-27,2020-01-05
00-96728778,Alan,Montoya,Male,Virginia,Virginia Beach,2016-04-26,Marketing,Content Creator,Bachelor,65358,Needs Improvement,No,1999-05-19,2024-12-06
00-64038913,Sarah,Garcia,Male,Michigan,Grand Rapids,2022-12-08,IT,System Administrator,Bachelor,77267,Good,Yes,1985-03-18,2020-03-09
00-24665841,Dennis,Wilson,Female,New York,New York City,2017-02-11,Sales,Sales Representative,Bachelor,51865,Good,Yes,2003-06-21,2017-11-02
00-35529407,Julia,Moore,Male,New York,Buffalo,2020-04-19,IT,System Administrator,Master,92780,Good,No,1972-01-06,2019-07-12
00-28814949,Cassandra,Robbins,Female,Pennsylvania,Allentown,2019-03-21,Customer Service,Customer Service Representative,Bachelor,52588,Good,No,1993-08-19,2017-01-09
00-47385696,Grace,Farrell,Female,Michigan,Detroit,2019-07-16,Operations,Inventory Specialist,Bachelor,64186,Good,No,1973-10-06,2024-04-09
00-20117988,Tracy,Whitehead,Male,New York,Rochester,2019-11-25,Operations,Inventory Specialist,High School,61124,Satisfactory,No,1979-09-08,2020-06-28
00-83863413,Brent,Walters,Female,New York,Rochester,2016-11-18,HR,Recruiter,High School,65797,Good,No,1983-10-30,2021-02-03
00-97529405,Joshua,Smith,Female,Illinois,Aurora,2024-10-26,Sales,Sales Manager,Master,114050,Satisfactory,Yes,2002-05-10,2015-04-20
00-11980765,David,Whitney,Female,New York,Rochester,2024-03-03,Customer Service,Help Desk Technician,High School,64313,Excellent,Yes,1977-01-26,2024-11-01
00-41726318,Joyce,Arnold,Male,Michigan,Grand Rapids,2017-06-16,Customer Service,Support Specialist,Bachelor,63557,Satisfactory,No,1990-12-25,2020-03-06
00-75181648,Ann,Rodriguez,Male,Michigan,Detroit,2019-12-09,Operations,Inventory Specialist,High School,59128,Satisfactory,No,1987-03-14,2024-09-11
00-63826716,Hannah,Hernandez,Female,New York,Rochester,2023-01-14,Customer Service,Support Specialist,High School,54770,Needs Improvement,Yes,1990-06-13,2015-02-19
00-32097220,Mary,Aguilar,Male,New York,Buffalo,2018-02-27,Customer Service,Support Specialist,Bachelor,64438,Satisfactory,No,2002-07-18,2018-08-21
00-62401521,Russell,Williams,Female,New York,Rochester,2017-05-22,HR,Recruiter,High School,58119,Good,Yes,1971-10-02,2016-03-13
00-71070189,Rachel,Flynn,Female,North Carolina,Raleigh,2017-12-01,Customer Service,Help Desk Technician,High School,82922,Satisfactory,No,1977-09-04,2019-04-08
00-84593961,Bill,Howard,Female,New York,Buffalo,2022-09-22,Marketing,Marketing Coordinator,Bachelor,74811,Satisfactory,No,1973-06-08,2021-07-03
00-75319931,John,Garcia,Male,North Carolina,Greensboro,2017-10-30,Finance,Financial Analyst,PhD,93475,Good,No,1984-03-06,2023-06-17
00-49823450,Anita,Baxter,Male,Ohio,Cleveland,2017-08-30,Customer Service,Customer Service Representative,High School,59676,Good,No,2003-04-21,2023-07-07
00-17849494,Kara,Frost,Male,New York,Rochester,2020-04-01,Sales,Sales Representative,Bachelor,77283,Needs Improvement,Yes,1969-04-05,2021-06-07
00-82772208,Michelle,Cherry,Male,New York,Buffalo,2016-11-10,Marketing,Content Creator,Bachelor,62224,Satisfactory,No,1981-04-26,2017-04-19
00-52091325,Gregory,Gutierrez,Male,New York,New York City,2016-03-10,Operations,Logistics Coordinator,Bachelor,68683,Needs Improvement,Yes,1998-06-07,2015-05-13
00-88406989,Jill,Cook,Female,New York,Rochester,2019-12-28,Customer Service,Customer Service Representative,High School,63830,Good,Yes,1968-05-02,2016-03-20
00-81286543,Robert,Santiago,Male,New York,New York City,2017-10-13,Sales,Sales Specialist,Master,75850,Good,No,1999-12-23,2015-03-14
00-78159587,Lisa,Adams,Male,New York,New York City,2016-11-01,Customer Service,Help Desk Technician,High School,82965,Excellent,Yes,1997-03-28,2022-01-28
00-34941004,Jacqueline,Reyes,Female,New York,Buffalo,2016-01-16,Operations,Logistics Coordinator,Bachelor,54011,Good,No,1975-03-30,2021-03-05
00-19121552,Michele,Walker,Male,New York,Rochester,2022-11-14,Sales,Sales Representative,Bachelor,80131,Good,Yes,1980-08-27,2020-11-10
00-41568532,Samantha,Bailey,Female,New York,Buffalo,2019-11-15,Operations,Inventory Specialist,Bachelor,55778,Good,No,2001-08-26,2017-09-03
00-86460539,Laura,Perez,Male,New York,New York City,2017-01-10,Sales,Sales Consultant,PhD,88444,Good,No,1967-01-24,2018-10-13
00-89795010,Donna,Ross,Female,New York,New York City,2015-04-19,Sales,Sales Representative,Bachelor,75303,Good,No,1971-02-19,2022-05-23
00-21003626,Michelle,Rasmussen,Female,North Carolina,Greensboro,2019-04-19,IT,Software Developer,Master,98297,Good,Yes,2001-02-05,2015-03-27
00-88339168,Michael,Hicks,Male,Illinois,Chicago,2020-09-20,Sales,Sales Representative,Bachelor,65506,Good,Yes,2000-04-28,2024-11-13
00-52462441,Tina,Herrera,Male,New York,Buffalo,2024-12-30,Finance,Financial Analyst,PhD,86731,Satisfactory,No,1992-12-25,2015-08-15
00-37415205,Anthony,Wiley,Male,New York,Rochester,2022-04-12,Sales,Sales Representative,Bachelor,78643,Satisfactory,Yes,1975-03-22,2016-08-08
00-52169044,Gregory,Estes,Female,Michigan,Warren,2017-04-14,Customer Service,Customer Service Representative,Bachelor,64159,Good,No,1977-04-16,2021-10-30
00-63121477,Benjamin,Carlson,Male,New York,New York City,2017-05-15,Sales,Sales Representative,Bachelor,66358,Good,No,1983-04-27,2015-07-31
00-96637649,Jessica,Edwards,Female,Michigan,Warren,2017-08-24,Operations,Inventory Specialist,Bachelor,57185,Good,No,1983-12-01,2018-03-08
00-52436584,Tracey,Wilson,Female,New York,Rochester,2024-12-15,IT,IT Support Specialist,Bachelor,57924,Excellent,Yes,1994-09-29,2017-05-25
00-19736572,Barbara,Scott,Female,New York,Rochester,2015-10-03,Operations,Inventory Specialist,Bachelor,57730,Satisfactory,No,1972-09-18,2023-11-29
00-93370583,Ryan,Meyer,Female,New York,Buffalo,2024-11-09,Operations,Inventory Specialist,High School,56753,Satisfactory,No,1977-01-28,2016-06-24
00-23419256,Amanda,Ball,Male,New York,Buffalo,2016-10-15,Sales,Sales Representative,Bachelor,62015,Good,No,1976-10-18,2020-05-13
00-38609087,Jillian,Gonzalez,Male,New York,New York City,2020-06-16,Operations,Operations Analyst,Bachelor,82241,Needs Improvement,No,1998-04-24,2017-12-17
00-27778019,Chad,Beck,Female,New York,Buffalo,2024-05-08,Sales,Sales Consultant,PhD,87980,Good,No,1984-05-08,2015-04-24
00-19233013,Cindy,Alvarado,Female,New York,Rochester,2023-02-18,Sales,Sales Representative,Bachelor,68240,Good,No,1988-06-05,2019-01-17
00-59597086,Jennifer,Evans,Male,New York,New York City,2017-05-01,Operations,Operations Manager,Bachelor,109148,Good,No,1986-06-17,2018-01-31
00-68812137,Elizabeth,Nguyen,Female,New York,Buffalo,2023-09-28,Operations,Operations Analyst,Bachelor,77304,Satisfactory,No,2003-01-17,2016-01-09
00-50603163,Kenneth,Martinez,Male,New York,Rochester,2021-06-13,Sales,Sales Specialist,Bachelor,71634,Satisfactory,Yes,1982-02-22,2024-07-04
00-97775215,Elizabeth,Gray,Male,New York,Rochester,2020-10-17,IT,IT Support Specialist,Bachelor,73488,Satisfactory,No,1990-03-01,2021-09-12
00-99639081,Raven,Gilbert,Male,New York,Rochester,2023-04-27,Operations,Inventory Specialist,High School,61678,Good,No,1984-01-20,2024-11-23
00-50181935,Richard,Bass,Female,New York,Rochester,2024-04-28,IT,Software Developer,Bachelor,94594,Satisfactory,No,1993-09-06,2022-07-08
00-23903144,Justin,Jordan,Male,Michigan,Detroit,2024-08-13,Operations,Inventory Specialist,Bachelor,76197,Satisfactory,No,1969-05-22,2021-06-07
00-28024248,Catherine,Morris,Female,New York,Rochester,2017-06-21,Operations,Logistics Coordinator,Bachelor,60859,Satisfactory,No,1996-08-28,2024-02-03
00-24366125,Scott,Lewis,Female,New York,New York City,2022-07-03,Marketing,Content Creator,High School,52939,Satisfactory,No,1999-02-10,2020-08-14
00-30863865,Laura,Moyer,Male,New York,Buffalo,2017-10-13,Sales,Sales Specialist,PhD,62230,Satisfactory,No,1994-11-26,2024-12-12
00-91178885,Gene,Miller,Male,New York,Rochester,2017-07-20,IT,IT Support Specialist,Bachelor,68297,Good,No,2000-01-26,2020-07-09
00-56020613,Elizabeth,Harvey,Male,New York,Buffalo,2017-02-06,Operations,Inventory Specialist,High School,62190,Good,No,2001-01-26,2019-08-06
00-95125977,Loretta,Potter,Female,North Carolina,Charlotte,2023-09-19,IT,Software Developer,Master,96606,Satisfactory,No,1961-07-06,2017-05-07
00-77834855,Lance,Drake,Male,New York,New York City,2019-02-27,Operations,Inventory Specialist,High School,55854,Good,No,1987-03-22,2019-09-03
00-16818112,Andrew,Sanchez,Female,Ohio,Cleveland,2016-07-03,Customer Service,Customer Service Representative,Bachelor,54580,Satisfactory,No,1997-12-31,2016-03-11
00-66851377,Cheryl,Mack,Female,New York,New York City,2023-06-26,Operations,Inventory Specialist,Bachelor,58131,Satisfactory,No,1999-08-17,2019-08-25
00-15917225,Robert,Soto,Female,Ohio,Cincinnati,2015-03-17,Operations,Inventory Specialist,Bachelor,64260,Good,Yes,1973-11-02,2021-01-02
00-27558317,Jennifer,Cruz,Female,Michigan,Grand Rapids,2021-06-05,Customer Service,Help Desk Technician,High School,63590,Satisfactory,No,1997-08-03,2016-01-23
00-45159040,John,Douglas,Female,New York,Buffalo,2017-01-03,Customer Service,Customer Service Representative,High School,63956,Excellent,No,1972-11-17,2023-01-31
00-69302158,Patricia,Dalton,Male,Michigan,Warren,2020-12-09,Marketing,Content Creator,Bachelor,67857,Good,No,1985-02-28,2016-09-20
00-67403166,Daniel,Coleman,Female,New York,New York City,2020-03-09,Customer Service,Customer Service Representative,Bachelor,53458,Good,No,1989-05-12,2016-01-20
00-25015458,Linda,Dominguez,Male,New York,Buffalo,2016-06-29,IT,System Administrator,Master,68344,Good,Yes,1995-06-15,2018-01-14
00-30005727,Brent,Wright,Female,New York,Buffalo,2020-11-25,Customer Service,Customer Service Manager,Bachelor,67027,Needs Improvement,No,1986-10-10,2021-10-11
00-59555330,David,Anderson,Female,New York,Buffalo,2020-06-29,Sales,Sales Representative,Bachelor,66258,Good,No,2004-03-01,2018-02-21
00-29876811,Elizabeth,Travis,Male,New York,New York City,2019-08-20,Sales,Sales Representative,Bachelor,64327,Satisfactory,Yes,1972-11-06,2022-07-24
00-15614174,Logan,Fischer,Male,Michigan,Grand Rapids,2018-06-21,IT,Software Developer,Bachelor,91360,Good,Yes,1983-02-05,2019-02-16
00-15354599,Cheyenne,Ball,Male,New York,Rochester,2023-07-16,Marketing,SEO Specialist,Bachelor,73844,Satisfactory,No,1975-02-10,2022-03-24
00-38195995,Ronald,Meadows,Male,New York,Buffalo,2022-06-23,Operations,Logistics Coordinator,Bachelor,65413,Satisfactory,No,1998-10-28,2021-09-22
00-99514287,Phyllis,Manning,Male,New York,New York City,2016-07-03,IT,Software Developer,Bachelor,95493,Good,No,1973-06-29,2015-10-06
00-85146293,Shannon,Walton,Male,Michigan,Grand Rapids,2023-11-23,Sales,Sales Representative,Bachelor,82548,Satisfactory,No,1996-05-17,2015-09-22
00-64543049,Dana,Cannon,Female,New York,Rochester,2024-07-21,Finance,Financial Analyst,Bachelor,95235,Good,No,1974-01-25,2016-12-09
00-30743797,Todd,Allen,Female,New York,New York City,2024-06-19,Marketing,SEO Specialist,Bachelor,81450,Good,No,1964-02-11,2020-08-17
